Date,Advisor,Portfolio Value USD,Cash,NVDA,AAPL,TMO,NVDA close,NVDA total,AAPL close,AAPL total,TMO close,TMO total
2024-08-12,dory,3969.92,1529.51,22.385,0.0,0.0,109.02,2440.413,217.53,0.0,599.07,0.0
2024-08-13,dory,2599.79,-4129.36,57.94,0.0,0.0,116.14,6729.152,221.27,0.0,604.21,0.0
2024-08-14,dory,6841.56,4129.25,0.0,12.233,0.0,118.08,0.0,221.72,2712.301,602.1,0.0
2024-08-15,dory,2749.0,-4129.19,55.984,0.0,0.0,122.86,6878.194,224.72,0.0,603.69,0.0
2024-08-16,dory,6974.49,-2845.28,78.823,0.0,0.0,124.58,9819.769,226.05,0.0,603.98,0.0
2024-08-17,dory,6974.49,-2845.28,78.823,0.0,0.0,124.58,9819.769,226.05,0.0,603.98,0.0
2024-08-18,dory,6974.49,-2845.28,78.823,0.0,0.0,124.58,9819.769,226.05,0.0,603.98,0.0
2024-08-19,dory,10246.99,-7401.68,135.759,0.0,0.0,130.0,17648.67,225.89,0.0,607.6,0.0
2024-08-20,dory,17275.33,7401.52,0.0,0.0,16.067,127.25,0.0,226.51,0.0,614.54,9873.814
2024-08-21,dory,9803.6,-7401.52,133.892,0.0,0.0,128.5,17205.122,226.4,0.0,610.17,0.0
2024-08-22,dory,9166.28,9166.28,0.0,0.0,0.0,123.74,0.0,224.53,0.0,603.86,0.0
2024-08-23,dory,0.0,-9166.25,70.853,0.0,0.0,129.37,9166.253,226.84,0.0,606.12,0.0
2024-08-24,dory,0.0,-9166.25,70.853,0.0,0.0,129.37,9166.253,226.84,0.0,606.12,0.0
2024-08-25,dory,0.0,-9166.25,70.853,0.0,0.0,129.37,9166.253,226.84,0.0,606.12,0.0
2024-08-26,dory,8960.07,9166.35,0.0,-0.908,0.0,126.46,0.0,227.18,-206.279,605.59,0.0
2024-08-27,dory,-207.05,-9166.37,69.831,0.0,0.0,128.3,8959.317,228.03,0.0,610.4,0.0
2024-08-28,dory,8771.47,9166.33,0.0,0.0,-0.644,125.61,0.0,226.49,0.0,613.14,-394.862
2024-08-29,dory,8772.41,8772.41,0.0,0.0,0.0,117.59,0.0,229.79,0.0,611.68,0.0
2024-08-30,dory,8772.41,8772.41,0.0,0.0,0.0,119.37,0.0,229.0,0.0,615.07,0.0
2024-08-31,dory,8772.41,8772.41,0.0,0.0,0.0,119.37,0.0,229.0,0.0,615.07,0.0
2024-09-01,dory,8772.41,8772.41,0.0,0.0,0.0,119.37,0.0,229.0,0.0,615.07,0.0
2024-09-02,dory,8772.41,8772.41,0.0,0.0,0.0,119.37,0.0,229.0,0.0,615.07,0.0
2024-09-03,dory,8772.41,8772.41,0.0,0.0,0.0,119.37,0.0,229.0,0.0,615.07,0.0
